ID,video,vs,subs,text
4378,disgust,neutrality,neutrality,Ik heb iets anders ontdekt.
3530,anger,neutrality,neutrality,"Jij, fiets alsjeblieft even naar het centrum voor de ballonnen."
1233,anger,anger,sadness,Ook voor ons. Wij kregen een kindje en... toen had je die miskraam.
2711,neutrality,neutrality,neutrality,Dank je wel.
2046,neutrality,neutrality,neutrality,Het is ook belangrijk dat iemand 't hoofd koel houdt.
2658,sadness,anger,anger,Als dat echt zo was dan had je me dit nooit geflikt.
449,happiness,happiness,neutrality,"Hee, ik heb een nieuwe locatie voor de bruiloft geregeld."
369,surprise,sadness,sadness,"Tot de dood ons scheidt, dat duurt niet lang, he."
2912,disgust,neutrality,neutrality,Ze doet dit voor Bing. Ze zegt 't niet uit zichzelf.
2305,disgust,surprise,anger,Maar hoe... Dit kan niet. Kennelijk wel.
2904,anger,anger,anger,"Jij hebt ervoor gekozen om m'n huwelijk op 't spel te zetten. Daar hebben wij niet om gevraagd, maar we hebben 't opgelost. Ik ben veel beter af zonder jou."
4651,neutrality,happiness,fear,En ik wil 't heel graag nu afmaken. Ik heb namelijk 'n deadline. Ik heb met Spectrum' afgesproken... dat ze 't morgen al plaatsen.
346,disgust,neutrality,neutrality,Alsof wij nooit extreme dingen hebben gedaan.
1350,anger,anger,neutrality,Ik ben dan misschien iemand zonder mening... maar Sjoerd heeft 't hier moeilijk mee.
649,fear,surprise,surprise,Zijn er problemen thuis?
3334,disgust,neutrality,neutrality,Echtheid. Die willen mensen zien die durven laten zien dat ze onzeker zijn. Die janken. Die ook filmen als het slecht gaat.
2822,neutrality,surprise,neutrality,Geen spoor?
1900,sadness,sadness,happiness,Ik ben ook niet klaar met jou.
3676,fear,neutrality,neutrality,"Het is blijkbaar makkelijker om 'n rekening te blokkeren, dan om hem te heropenen."
1211,disgust,sadness,neutrality,"Ik wil alleen een kind en een leven met jou, maar Teddy heeft me nodig."
715,anger,fear,neutrality,Waar is ze?
2695,neutrality,sadness,sadness,Laten we dit allebei zien als een afsluiting.
629,surprise,anger,neutrality,Waar is ze?
8361,disgust,neutrality,surprise,"Dat geloof ik niet, dat het er niet meer is."
110,surprise,neutrality,happiness,Leon. Dank je.
3002,anger,neutrality,sadness,Thijs heeft inwendig zware beschadigingen opgelopen.
3942,sadness,neutrality,neutrality,misschien komt het dan weer goed tussen jou en Thijs.
3468,neutrality,sadness,sadness,Ik ben een eikel.
396,happiness,surprise,sadness,"Als je van iemand houdt, wil je trouwen. Dan doet leeftijd er niet meer toe. Dat begrijp jij natuurlijk niet."
3306,happiness,happiness,happiness,"Als je 't feest nog 'n keer over wil doen, kan 't altijd hier."
412,anger,anger,anger,Achterbakse bitch. Je hebt gewoon maandenlang gelogen.
3472,fear,sadness,sadness,"Maar Kas, ik wil dat je weet dat... dat wat de uitslag ook is... ik neem jou niks kwalijk."
4163,surprise,fear,neutrality,Je hebt het toch weleens eerder gedaan? Kun je niet gewoon doen alsof hij 'n patient is?
67,neutrality,sadness,neutrality,"Heeft ze hem laten vermoorden? Weet ik niet, echt niet."
1002,surprise,surprise,surprise,Dat weet je zeker?
5688,fear,anger,happiness,Vriendschap is belangrijker dan geld.
1074,disgust,fear,surprise,"Dat snap ik. Je zegt net zelf dat Thijs zich nu laat testen, toch? Wat als ie geschikt is?"
3578,disgust,neutrality,neutrality,"Neem mijn auto, we redden ons wel."
1292,sadness,sadness,sadness,Het zit niet goed.
2591,neutrality,neutrality,neutrality,Heb geinformeerd naar de toestand van Teddy… maar van m'n collega's hoorde ik dat Rik nu geopereerd wordt.
2949,neutrality,neutrality,anger,Alsof jij er wat aan kan doen.
