;ID;subs;text
0;5029;anger;Kan ik hier nog betalen of hoe zit dat?
2;4643;neutrality;Het is eigenlijk een heel algemeen en beschouwend artikel.
4;1281;surprise;Hee. Is Sjoerd al weg?
5;7515;happiness;Ik ben blij dat ze gelukkig is met Anton en jullie dat ook zijn met 'm.
6;5258;neutrality;Ik weet het niet.
8;7443;neutrality;Nee, want ik hou van Anton en van niemand anders.
11;4608;surprise;Huh?
12;3656;happiness;Maar ik had het natuurlijk nooit gekund... zonder het enthousiasme en de steun van mijn echtgenoot.
13;401;happiness;willen we het leven vieren. Vooral de liefde.
15;8407;sadness;Het is zijn droom om met z'n vieren te zijn, maar ik wil dat niet.
18;6651;anger;En dat ik hem een van m'n nieren heb gegeven is ook tactiek?
19;1362;fear;Thijs, dokter Lagerman is hier. Hij moet Teddy checken. Het gaat om haar. Alsjeblieft.
20;4395;disgust;En doe niet zo dramatisch. Je kunt er heel goed mee leven.
21;2697;neutrality;Veel geluk met Anton. Maak er wat moois van. Samen.
22;5755;sadness;Rikki wil me niet meer om haar heen hebben. En ik heb ruzie met Anna.
23;1744;happiness;en hebben jou als een van de drie finalisten geselecteerd...
25;3360;fear;Ik... Straks heeft hij... Straks is ie...
27;1853;anger;Ja, allemaal terug te voeren op Ludo. Maar jij hebt de boel geforceerd.
31;7813;neutrality;Thijs is met Teddy in 't ziekenhuis geweest voor 'n cholerastempel.
33;3866;neutrality;Ik ehm... respect.
35;7461;anger;Is dat alles wat je kan zeggen?
38;7891;neutrality;Hij zal wel wat geld voor z'n aandelen hebben gekregen. Hij heeft ook nog wel krediet in de zakenwereld. Als je geld hebt worden zakelijke missers je snel vergeven. Wat gaan de aandeelhouders doen? Zie je aandelen vrijkomen?
40;1599;sadness;sorry.
42;3228;neutrality;Ik ga alle ellende achter me laten en keihard knallen.
45;5793;neutrality;Ik had al 't gevoel dat er iets was. Is Sjoerd langs geweest?
46;7292;sadness;Hij zal denken dat het zijn schuld is. We hebben allebei fouten gemaakt, maar dit is wel de allergrootste. We kunnen niet veranderen wat er is gebeurd.
47;4492;sadness;Die ziekte voor altijd in m'n lichaam. Ik was stuk. Ik ben stuk. Ik dacht ook dat mijn leven voorbij was.
48;861;happiness;ok, maar... Zie je wel? Je wil het net zo graag als ik.
50;528;neutrality;Bedankt.
53;7537;sadness;Vertrouw me keer, alsjeblieft. Ik wil dat je gaat.
54;4118;neutrality;Moet je niet naar Teddy? Ik loop wel even mee. Dan ga ik daarna terug naar hier. ok? Ja.
64;7766;happiness;Ik ga er weer vantussen. Een hele fijne dag nog.
65;574;sadness;Wat ik tegen jou ook heb gezegd. Dat ik me zorgen maak en dat trouwen niet zo zie zitten. Je hebt hem omgepraat en je zit hier mij te troosten. Je weet hoe belangrijk dit voor me is. Dat begrijp ik ook wel. Olivier gaat dood...
67;4443;surprise;Denk je dat Maddy erachter zit?
68;1296;neutrality;Jullie doen het samen.
69;6735;happiness;Maar nu weet ik dat ik... Ik hou nog steeds verschrikkelijk veel van je. Daarom wil ik... met je trouwen.
70;4878;neutrality;We moeten goed voor je zorgen. Ik ga wat regelen.
75;1887;sadness;Teddy is ziek. Ze heeft een zeldzame leverziekte en snel een transplantatie nodig. Anders... nou ja, vandaar dat Jobs hoofd niet naar de kookvlog staat. En daar kom ik als invalvrouw om de hoek kijken.
76;3329;neutrality;Je kunt je priveleven volledig buiten je vlog zetten...
77;4973;neutrality;Ze heeft me nog net niet gedwongen op laten nemen.
81;7066;anger;Ik kan me toch niet ontspannen als jij telkens loopt te flirten?
82;4135;neutrality;Hee.
86;6898;anger;Wat zitten we hier de hele tijd te doen? Ik heb gewoon geen zin, ok? Weet je, zoek het maar lekker uit dan. Is hij kwaad? Laat je hem gaan? Het klikte niet. Je vond hem goddelijk. Van veraf, maar hij is totaal m'n type niet. Wat zit je nou stom te kijken?
87;7003;neutrality;Dat ze gevoelens hebben voor elkaar, ok, dat is dan maar zo.
92;8127;neutrality;ga ik een heel groot stuk pecorino halen, in de Via Marmorata. Ik wist niet dat jij met Bill in Rome was geweest.
96;8331;sadness;Sorry. Sorry.
97;5119;anger;Hee, doe je een beetje voorzichtig? Ik wil niet dood, he. Nou ja, nog niet. Kap nou eens met die grapjes.
98;6337;neutrality;Hee. Bill he, wat vind jij nou van die man?
100;6624;anger;Dit komt door jou. Omdat die Maddy jou zo haat, raak ik nu ook alles kwijt.
101;4460;sadness;Ik zie nu dat ie 't er moeilijk mee heeft. Ik ook. Maar ik ga er in ieder geval volwassen mee om.
103;1378;disgust;Je kan 't ook niet maken tegenover Linda.
107;3390;fear;Dat is niet te voorkomen, denk ik. Ik heb het gevoel dat ik moet kiezen. Dat hoeft niet voor mij. Ook niet voor Nina.
111;5744;neutrality;Kijk, ik ben oud, dan weet je dit soort dingen.
112;5984;happiness;Dat voorstel waar je gisteren over begon kunnen we 't daar nog eens over hebben?
113;7331;neutrality;Ik kan niet voor je bepalen wat je moet doen, maar ik hoop...
114;441;fear;Je vindt 't geen goed idee, begrijp ik? Nee, dat bedoel ik niet.
115;7237;sadness;Zoals ie me nog heel veel zou uitleggen. Het is gewoon niet eerlijk.
116;3982;surprise;Maar je verrast me al weken.
117;7760;neutrality;De rest moet ook nog komen. Ik wilde 'n nieuw overhemd scoren...
119;5026;anger;Dat klinkt niet enthousiast. Het is meer... Is 't omdat ik nu hiv heb? Doe eens even normaal, zeg. ok. Ja, nee... ik dacht: leuk, jij en ik samen hier.
123;621;anger;Waarom hoor ik dit nu pas? Ik weet het ook pas net en ik wilde je niet storen na je nachtdienst. Hoe dan ook, dat trouwen gaat toch niet door.
124;602;neutrality;Ays, kunnen we heel effe 'n beetje rustig doen? Kan je me nu al niet bijhouden? We zijn maar net begonnen. We kunnen toch ook gewoon effe rustig lopen? Hier. Neem wat water, straks droog je uit.
125;5358;anger;Moet je niet boodschappen doen of zo?
126;3812;sadness;Er is geen dag voorbijgegaan dat ik me niet schuldig heb gevoeld. En nog steeds. Het spijt me zo ontzettend. Ik mis je.
127;1669;sadness;Ik wil gewoon niet nog meer ongeluk.
129;4087;fear;Is vrijdag niet veel te snel?
130;5272;sadness;Waar en wanneer, geen idee. Ik voel dat gewoon. Liefje... Ik ga je zo verschrikkelijk missen.
132;4324;anger;Serieus? Nou... Hee casanova, denk je dat dit een goed plan is? Ga weg. Hij denkt dat we 'n open relatie hebben. Niet dus.
